1,800 1800
1,802 1802
woods bretton
clotted coagulated
sprague pipit
161.0 3,161.0
nunnery convent
alphabetic alphabetical
11/12/2006 11.12.2006
40,8 40.8
40,9 40.9
naturopathic naturopathy
40,5 40.5
40,6 40.6
long-liners longliners
40,0 40.0
40,1 40.1
40,2 40.2
40,3 40.3
samudra samodra
grains grain
vibrational vibration
tcbs tcb
wednesday wed
salfeet salfit salfeit
multi-point multipoint
salination salinization
stereotypical stereotyped
south-west southwest
non-compete non-competition
thrace thracian
scrapes abrasions
7,150 7150
0,65 0.65
gorman 'gorman
siftproof sift-proof
errors mistakes
cooking kitchen
pawel paweł
schöpp-schilling schopp-schilling
9252 9,252
'argo argo
affiliates subsidiaries
erus eru
china chinese
mikati miqati
3.5.1. 3.5.1
climber mountaineer
golden gold
2.2.5 2.2.5.
2.2.4 2.2.4.
2.2.7 2.2.7.
2.2.6 2.2.6.
2.2.1 2.2.1.
2.2.3 2.2.3.
2.2.2 2.2.2.
htmlfrn htmleng
130,00 130.00
2.2.8 2.2.8.
dna adn
al-zarqawi zarqawi
music musical
voyageur traveller
neo-cons neo-conservatives
al-shara al-sharaa
multi-channel multichannel
5.12 5.12.
5.13 5,13
5.10 5.10.
5.11 5.11.
5.16 5.16.
1.515 1,515
5.14 5.14.
5.18 5,18
5.19 5.19.
ipdls ipdl
dong-guk dong-gook
100.00 100,00
gershom gershon
gershon gershom
radicalisation radicalization
unjust unfair
hidalah haidalla
munzer monzer
51.8 51,8
51.9 51,9
51.0 51,0
51.1 51,1
rayon viscose
51.5 51,5
51.6 51,6
51.7 51,7
co-operation cooperation
subinterfaces sub-interfaces
28,33 28.33
28,31 28.31
1174 1,174
45.7 45,7
1,114 1114
pigment pigments
40-foot 40-foot-long
18th eighteenth
6.6.2 6.6.2.
fiv ivf
tailings residues
cipr icrp
bienniums biennia
fib iff
cipe ceip
inal nal
fia aif iaf
fij ifj
menachem menahem
nutraceuticals nutraceutical
140,00 140.00
6,020 6020
30.12.1997 30/12/1997
multi-port multiport
14.48 14,48
multidimensional multi-dimensional
14.45 14,45
62,6 62.6
remelt remelting
króna icelandic
timeout time-out
log-normal lognormal
non-trade non-commercial
zaher zahir
parasites pests
3,779 3779
rfcs rfc
ideograph cjk
masom masoum
cas-satj.gc.ca cnsc-ccsn.gc.ca
seif saif
mazuz mazoz
3748 3,748
3743 3,743
intraoperation interoperation
seocho-gu seocho
ministries departments
19.15 7.15
19.12 19,12
19.10 19,10
pmscs pmsc
multiple-page multi-page multipage
kfn pnk
peduncle stalk
service services
reuben rubén
needed necessary
27,9 27.9
mutilated maimed
27,1 27.1
27,0 27.0
27,3 27.3
27,2 27.2
27,5 27.5
27,4 27.4
27,7 27.7
ahmed ahmad
l.r.q. r.s.q.
handcuffs cuffs
khona khouna
406.7 16,01
dedupe deduplication de-duplication
marwaheen marwahin
kohler koehler
2.79 2,79
2.78 2,78
2.71 2,71
2.70 2,70
2.73 2,73
2.72 2,72
2.75 2,75
2.74 2,74
2.77 2,77
2.76 2,76
omni-directional omnidirectional
7.6.5.6.1.1. 7.6.5.6.1.1
metrics metric
covets billionairedesires
multiracial multi-racial
0,026 0.026
0,025 0.025
0,024 0.024
0,023 0.023
0,020 0.020
05:20 0520
turgidity turgor
hi-tech high-tech
18,26 18.26
18,25 18.25
lepidoptera lepidopterans
macro-financial macrofinancial
rich wealthy
miqdad mekdad meqdad
plate plaque
plato platon
57.47 57,47
ceip cipe
rémi remi
3.8.2.8. 3.8.2.8
kccm ccmc
1992-93 1992-1993
patch patches
rémy remy
1974-75 1974-1975
1974-78 1974-1978
non-canadian noncanadian
10:03 09:03
1,000:1 1000:1
awwad awad
awwal awal
irs rsi
irm mri
smo emo
alpes alps
dragonbails dragonballs
nature character
17.10 17,10
17.18 17,18
non-union non-unionized
himalayas himalaya himalayan
1/09 01/09
carburettor carburetor
himalayan himalayas
southeastern southeast
esis siae
libyan jamahiriya
'azur azur
ghareb ghraib gharib
11.15 1115
11.12 11,12
11.10 1110
11.11 11,11
basque vasco
blonde blond
organisational organizational
3.83 3,83
3.82 3,82
3.81 3,81
3.80 3,80
3.87 3,87
3.86 3,86
3.85 3,85
3.84 3,84
